Team ID,Team Name
ATL,Atlanta Hawks
BRO,Brooklyn Nets
BOS,Boston Celtics
CHA,Charlotte Hornets
CHI	,Chicago Bulls
CLE,Cleveland Cavaliers
DAL	,Dallas Mavericks
DEN,Denver Nuggets
DET,Detroit Pistons
GOL,Golden State Warriors
HOU,Houston Rockets
IND,Indiana Pacers
LAC,Los Angeles Clippers
LAL,Los Angeles Lakers
MEM,Memphis Grizzlies
MIA,Miami Heat
MIL,Milwaukee Bucks
MIN	,Minnesota Timberwolves
NOR,New Orleans Pelicans
NYK,New York Knicks
OKC,Oklahoma City Thunder
ORL,Orlando Magic
PHI,Philidelphia 76ers
PHO,Phoenix Suns
POR,Portland Trailblazers
SAC	,Sacramento Kings
SAN,San Antonio Spurs
TOR,Toronto Raptors
UTA	,Utah Jazz
WAS,Washington Wizards
